Year,Month,Bulletin,EB2-FA,EB3-FA,EB2-DOF,EB3-DOF,EB2-AOS,EB3-AOS,EB2 DOF Honored?,Difference EB2 AOS,EB3 DOF Honored?,Difference EB3 AOS
2020,October,1-Oct-20,1-Sep-09,15-Jan-10,15-May-11,1-Jan-15,15-May-11,1-Jan-15,TRUE,0,TRUE,0
2020,September,1-Sep-20,8-Jul-09,1-Oct-09,15-Aug-09,1-Feb-10,8-Jul-09,1-Oct-09,FALSE,38,FALSE,123
2020,August,1-Aug-20,8-Jul-09,1-Oct-09,15-Aug-09,1-Feb-10,8-Jul-09,1-Oct-09,FALSE,38,FALSE,123
2020,July,1-Jul-20,8-Jul-09,1-Jun-09,15-Aug-09,1-Feb-10,8-Jul-09,1-Jun-09,FALSE,38,FALSE,245
2020,June,1-Jun-20,12-Jun-09,1-Apr-09,1-Jul-09,1-Feb-10,12-Jun-09,1-Apr-09,FALSE,19,FALSE,306
2020,May,1-May-20,2-Jun-09,1-Mar-09,1-Jul-09,1-Feb-10,2-Jun-09,1-Mar-09,FALSE,29,FALSE,337
2020,April,1-Apr-20,25-May-09,22-Jan-09,1-Jul-09,1-Feb-10,25-May-09,22-Jan-09,FALSE,37,FALSE,375
2020,March,1-Mar-20,22-May-09,15-Jan-09,1-Jul-09,1-Feb-10,1-Jul-09,1-Feb-10,TRUE,0,TRUE,0
2020,February,1-Feb-20,19-May-09,8-Jan-09,1-Jul-09,1-Feb-10,1-Jul-09,1-Feb-10,TRUE,0,TRUE,0
2020,January,1-Jan-20,19-May-09,8-Jan-09,1-Jul-09,1-Feb-10,1-Jul-09,1-Feb-10,TRUE,0,TRUE,0
2019,December,1-Dec-19,15-May-09,1-Jan-09,1-Jul-09,1-Feb-10,1-Jul-09,1-Feb-10,TRUE,0,TRUE,0
2019,November,1-Nov-19,13-May-09,1-Jan-09,1-Jul-09,1-Feb-10,1-Jul-09,1-Feb-10,TRUE,0,TRUE,0
2019,October,1-Oct-19,12-May-09,1-Jan-09,1-Jul-09,1-Feb-10,1-Jul-09,1-Feb-10,TRUE,0,TRUE,0
2019,September,1-Sep-19,8-May-09,1-Jul-05,1-Jun-09,1-Apr-10,8-May-09,1-Jul-05,FALSE,24,FALSE,"1,735"
2019,August,1-Aug-19,2-May-09,1-Jan-06,1-Jun-09,1-Apr-10,2-May-09,1-Jan-06,FALSE,30,FALSE,"1,551"
2019,July,1-Jul-19,2-May-09,1-Jan-06,1-Jun-09,1-Apr-10,24-Apr-09,1-Jul-09,FALSE,38,FALSE,274
2019,June,1-Jun-19,19-Apr-09,1-Jul-09,1-Jun-09,1-Apr-10,19-Apr-09,1-Jul-09,FALSE,43,FALSE,274
2019,May,1-May-19,16-Apr-09,1-Jul-09,1-Jun-09,1-Apr-10,16-Apr-09,1-Jul-09,FALSE,46,FALSE,274
2019,April,1-Apr-19,12-Apr-09,22-Jun-09,1-Jun-09,1-Apr-10,12-Apr-09,22-Jun-09,FALSE,50,FALSE,283
2019,March,1-Mar-19,9-Apr-09,22-May-09,22-May-09,1-Apr-10,9-Apr-09,22-May-09,FALSE,43,FALSE,314
2019,February,1-Feb-19,6-Apr-09,22-Apr-09,22-May-09,1-Apr-10,6-Apr-09,22-Apr-09,FALSE,46,FALSE,344
2019,January,1-Jan-19,1-Apr-09,1-Mar-09,22-May-09,1-Apr-10,22-May-09,1-Apr-10,TRUE,0,TRUE,0
2018,December,1-Dec-18,1-Apr-09,1-Mar-09,22-May-09,1-Jan-10,22-May-09,1-Jan-10,TRUE,0,TRUE,0
2018,November,1-Nov-18,26-Mar-09,1-Jan-09,22-May-09,1-Oct-09,22-May-09,1-Oct-09,TRUE,0,TRUE,0
2018,October,1-Oct-18,26-Mar-09,1-Jan-09,22-May-09,1-Oct-09,22-May-09,1-Oct-09,TRUE,0,TRUE,0
2018,September,1-Sep-18,1-Jan-07,1-Jan-03,22-May-09,1-May-09,1-Jan-07,1-Jan-03,FALSE,872,FALSE,"2,312"
2018,August,1-Aug-18,15-Mar-09,1-Jan-09,22-May-09,1-May-09,15-Mar-09,1-Jan-09,FALSE,68,FALSE,120
2018,July,1-Jul-18,15-Mar-09,1-Nov-08,22-May-09,1-May-09,15-Mar-09,1-Nov-08,FALSE,68,FALSE,181
2018,June,1-Jun-18,26-Dec-08,1-May-08,1-Apr-09,1-Sep-08,15-Mar-09,1-Jan-09,FALSE,17,FALSE,-122
2018,May,1-May-18,22-Dec-08,1-May-08,1-Apr-09,1-Sep-08,22-Dec-08,1-May-08,FALSE,100,FALSE,123
2018,April,1-Apr-18,22-Dec-08,1-Feb-08,8-Feb-09,1-Apr-08,22-Dec-08,1-Feb-08,FALSE,48,FALSE,60
2018,March,1-Mar-18,15-Dec-08,1-Jan-07,8-Feb-09,1-Jan-08,15-Dec-08,1-Jan-07,FALSE,55,FALSE,365
2018,February,1-Feb-18,8-Dec-08,1-Dec-06,8-Feb-09,1-Jan-08,8-Dec-08,1-Dec-06,FALSE,62,FALSE,396
2018,January,1-Jan-18,22-Nov-08,1-Nov-06,8-Feb-09,1-Jan-08,22-Nov-08,1-Nov-06,FALSE,78,FALSE,426
2017,December,1-Dec-17,1-Nov-08,15-Oct-06,8-Feb-09,1-Jan-08,1-Nov-08,15-Oct-06,FALSE,99,FALSE,443
2017,November,1-Nov-17,8-Oct-08,15-Oct-06,8-Feb-09,1-Jan-08,8-Oct-08,15-Oct-06,FALSE,123,FALSE,443
2017,October,1-Oct-17,15-Sep-08,15-Oct-06,8-Feb-09,1-Jan-08,22-Aug-08,15-Oct-06,FALSE,170,FALSE,443
2017,September,1-Sep-17,22-Aug-08,15-Oct-06,1-Feb-09,1-Jan-07,22-Jul-08,15-Feb-06,FALSE,194,FALSE,320
2017,August,1-Aug-17,22-Jul-08,15-Jul-06,1-Feb-09,1-Jan-07,22-Jul-08,15-Jul-06,FALSE,194,FALSE,170
2017,July,1-Jul-17,22-Jul-08,15-Feb-06,1-Feb-09,1-Oct-06,1-Jul-08,15-May-05,FALSE,215,FALSE,504
2017,June,1-Jun-17,1-Jul-08,15-May-05,1-Feb-09,22-Apr-06,22-Jul-08,15-Feb-06,FALSE,194,FALSE,66
2017,May,1-May-17,22-Jun-08,25-Mar-05,1-Feb-09,22-Apr-06,22-Jun-08,25-Mar-05,FALSE,224,FALSE,393
2017,April,1-Apr-17,22-Jun-08,23-Jun-08,24-Jun-08,25-Jun-08,22-Jun-08,24-Mar-05,FALSE,2,FALSE,"1,189"
2017,March,1-Mar-17,1-Jun-08,22-Mar-05,22-Apr-09,1-Jul-05,15-Apr-08,22-Mar-05,FALSE,372,FALSE,101
2017,February,1-Feb-17,15-Apr-08,22-Mar-05,22-Apr-09,1-Jul-05,15-Apr-08,22-Mar-05,FALSE,372,FALSE,101
2017,January,1-Jan-17,15-Apr-08,15-Mar-05,22-Apr-09,1-Jul-05,22-Apr-09,1-Jul-05,TRUE,0,TRUE,0
2016,December,1-Dec-16,1-Feb-08,15-Mar-05,22-Apr-09,1-Jul-05,22-Apr-09,1-Jul-05,TRUE,0,TRUE,0
2016,November,1-Nov-16,1-Nov-07,8-Mar-05,22-Apr-09,1-Jul-05,22-Apr-09,1-Jul-05,TRUE,0,TRUE,0
2016,October,1-Oct-16,15-Jan-07,1-Mar-05,22-Apr-09,22-Apr-09,22-Apr-09,1-Jul-05,TRUE,0,FALSE,"1,391"
2016,September,1-Sep-16,22-Feb-05,15-Feb-05,1-Jul-09,1-Jul-05,22-Feb-05,15-Feb-05,FALSE,"1,590",FALSE,136
2016,August,1-Aug-16,15-Nov-04,8-Nov-04,1-Jul-09,1-Jul-05,15-Nov-04,8-Nov-04,FALSE,"1,689",FALSE,235
2016,July,1-Jul-16,1-Nov-04,22-Oct-04,1-Jul-09,1-Jul-05,1-Nov-04,22-Oct-04,FALSE,"1,703",FALSE,252
2016,June,1-Jun-16,1-Oct-04,22-Sep-04,1-Jul-09,1-Jul-05,1-Oct-04,22-Sep-04,FALSE,"1,734",FALSE,282
2016,May,1-May-16,22-Nov-08,1-Sep-04,1-Jul-09,1-Jul-05,22-Nov-08,1-Sep-04,FALSE,221,FALSE,303
2016,April,1-Apr-16,8-Nov-08,8-Aug-04,1-Jul-09,1-Jul-05,8-Nov-08,8-Aug-04,FALSE,235,FALSE,327
2016,March,1-Mar-16,15-Oct-08,15-Jul-04,1-Jul-09,1-Jul-05,15-Oct-08,15-Jul-04,FALSE,259,FALSE,351
2016,February,1-Feb-16,1-Aug-08,15-Jun-04,1-Jul-09,1-Jul-05,1-Aug-08,15-Jun-04,FALSE,334,FALSE,381
